0,"21.05.19г ремонт цоколя здания Администрации города Малмыжа. Вот что происходит с цоколем и фундаментами домов и зданий, когда власти города не обращают внимания на регулярные жалобы жителей о том, что в подпольях и подвалах круглый год стоит вода. В городе отсутствует ливневая канализация и совсем не проводят работ по осушению. Со временем от постоянной сырости фундаменты разрушаются, а следом появляются трещины на стенах, не равномерная усадка и прочие чисто Малмыжские проблемы. Наверно о людях думали только при Советском Союзе, ведь после его развала все работы в городе заморозили. Когда Глава города займется реальными проблемами? анон"
1,"60 лет назад 
 
 В 1961 году на базе расформированного детского дома была создана вспомогательная школа-интернат. Директором был назначен Г. М. Иванов. 
 Много труда пришлось вложить педагогическому коллективу школы, чтобы создать нормальные условия для успешного обучения детей не только Малмыжского района, но и Кильмезского и В-Полянского. До 1988 года в школе учились дети из детского дома. 
 В 1998 году вспомогательная школа-интернат получила новое название - коррекционная школа. 
 С 2012 года школа была переименована. Полное наименование учреждения: Кировское областное государственное общеобразовательное бюджетное учреждение «Школа-интернат для обучающихся с ограниченными возможностями здоровья г. Малмыжа». 
 Главная задача этого учебного заведения – подготовить учеников к жизни и труду."
1,"❗❗❗УВАЖАЕМЫЕ НЕРАВНОДУШНЫЕ ЛЮДИ!!!! Сегодня 1.11.2021 г. в с.Гоньба у нашего близкого друга Пономарева Ильи сгорел дом, сгорело всё! Абсолютно ВСЁ до тла, ни документов ни вещей, ни-че-го.... У семьи у которой все было годами нажито за считанные минуты охватил огонь. Никому не пожелаешь такого, но, к сожалению, это коснулось нашего друга. 
УМОЛЯЮ не останьтесь равнодушными, ПОМОГИТЕ кто чем может!!!!!Первым делом необходимо восстановление документов и вещи первой необходимости. 
Будем Вам искренне благодарны за оказанную помощь:
Сбербанк: мама 89229328889 (Наталья Николаевна П.) папа 89123736573 (Андрей Васильевич П.)🙏🏻🙏🏻🙏🏻"
0,"Цена: 2900 рублей 
 
Макси домик 60см , тут собрано все самое интересное"
0,"Отличные новости для жителей Малмыжа!
Понятие, как «Сезон стирки ковров» отменяется!
VORS 365 - это идеальная стирка вашего ковра в любое удобное для вас время! 365 дней в году! В любое время года! 
Профессиональная стирка ковров специальным оборудованием из Европы! 🇪🇺
Бесплатная доставка! Заберем грязный, привезем чистый!!! 🚌 Сделай подарок себе или любимой бабуле👵🏻🥰👨🏼‍🦳
Оставляйте заявку по телефону 
☎️8 (912) 732-17-71 и в удобное для вас время мы прямо из дома заберем ваш грязный ковер на стирку!
Наша главная гордость- это круглогодичная сушильная камера!🏠Мощные потоки свежего фильтрованного воздуха сделают ваш ковер абсолютно сухим всего за 10 часов!
Мы не сушим ковры на улице в пыли!🌧 🐷💨

☎️ 8 (912) 732-17-71 
Оставляйте заявку!🤝
Оплата по факту доставки чистого ковра!
Подписывайся на наши социальные сети! Пригодится!
https://vk.com/vors365 
https://www.instagram.com/vors365/"
1,"Студия LilySchool приглашает на индивидуальные занятия по английскому языку младших школьников! ✨
Обучение чтению, грамматике, лексике, письму! 🔰
Также проводится работа по индивидуальному запросу! 
Возможно проведение групповых занятий! 👫
Количество мест сильно ограничено!
За подробностями в л/с https://vk.com/id170462439 или по телефону 89823882280"
1,"Подскажите пжта, где лучше купить мягкую мебель (диван)"
1,"Ностальгия по прошлому, 
Всё сильней и сильней... 
Вспоминаю хорошее, 
А на сердце больней... 
Словно что-то потеряно, 
И назад не вернуть..) 
 
🎀🎈🍷🌹7 ноября советские люди отмечали, бесспорно, главный праздник Советского Союза - День Великой Октябрьской социалистической революции. Идеологическая основа была проста – праздновали день рождения нового государства рабочих и крестьян. И конечно, каждый школьник знал, почему День Октябрьской революции отмечается в начале ноября. 
Ежегодно 7 ноября парады шли по главным площадям городов страны. За ними следовали и демонстрации трудящихся. На трибуны выходили первые лица региона, принимавшие парад и приветствовавшие трудящихся, а также студентов и школьников, которые маршировали с флагами, плакатами и транспарантами в руках… 
Гражданам Страны Советов полагалось по этому поводу два выходных дня: 7 и 8 ноября: так постановил Президиум ЦИК СССР в 1927 году, в честь первой десятилетней годовщины революции. 
После официальной части переходили к праздничному застолью. Каждая хозяйка приберегала что-то из дефицитного (в зависимости от года) к такому моменту: баночку икры или венгерского горошка, крабов или просто майонеза. Собирались гости, звучали тосты, а затем песни и танцы, насколько позволяла площадь квартир и комнат."
1,"Куплю колеса 175 / 65 r 14 зимние 
953 942 31 88"
1,"Микроволновка Samsung в отличном состоянии, 20 литров, внутри био-керамическое покрытие, не эмаль; не облезет, не заржавеет, есть гриль, всё работает, 3500 руб. 
Вятские Поляны, 89229398009 , в лс."
